Title,Source,Date
NYC Mayor to Sign Order Keeping City in Paris Climate Accord If Trump Backs Out,The New York Observer,2017-05-31
Climate agreement withdrawal: 'Trump just stepped on the gas' toward catastrophe,USA Today (Online),2017-06-01
'Summertime' plays ahead of Trump's climate announcement,USA Today (Online),2017-06-01
Trump Cedes Climate Policy Mantle to Xi With Paris Accord Exit,Las Cruces Sun - News,2017-06-01
U.S. News: Trump Likely to End Climate Deal --- President weighs outright withdrawal or fewer emissions cuts; lobbying intensifies,Wall Street Journal,2017-06-01
What Did Trump Just Do? The Paris Climate Withdrawal Explained,Las Cruces Sun - News,2017-06-01
"With Trump announcement, America becomes a climate change pariah",Bangor Daily News,2017-06-01
EU and China strengthen Paris climate deal as Trump eyes withdrawal,Eurasia Diary,2017-06-01
BREAKING: Theresa May 'disappointed' at Trump's withdrawal from Paris climate agreement,Express (Online),2017-06-01
Trump Said to Plan Withdrawal From Landmark Paris Climate Accord,Las Cruces Sun - News,2017-06-01
Trump to announce 'withdrawal' from Paris climate deal: US official,The New Vision,2017-06-01
Emmanuel Macron delivers unprecedented English address at Elysée to slam Donald Trump's withdrawal from Paris climate deal,Telegraph.co.uk,2017-06-01
Trump Said to Plan Withdrawal From Landmark Climate Accord (1),Las Cruces Sun - News,2017-06-01
Trump Announces Withdrawal From Paris Climate Agreement,RTTNews,2017-06-01
Al Gore: Trump's withdrawal from Paris Agreement is a 'reckless and indefensible action',Washington Examiner,2017-06-01
ON POLITICS; State's climate policy won't reverse; Governor vows to keep efforts in place regardless of whether Trump pulls U.S. out of Paris agreement.,Los Angeles Times,2017-06-01
"After Trump's climate pact announcement, a green Boston City Hall",Boston Globe (Online),2017-06-01
Pittsburgh mayor calls out Trump for Paris climate agreement speech,USA Today (Online),2017-06-01
Trump Said to Plan Withdrawal From Landmark Climate Accord (2),Las Cruces Sun - News,2017-06-01
Mayor: Trump goofed when he evoked Pittsburgh in Paris agreement announcement,Washington Examiner,2017-06-01
Trump to announce 'withdrawal' from Paris climate deal - US official,Vanguard,2017-06-01
Trump finalizes withdrawal from Paris climate deal [US],The Times of India,2017-06-01
Donald Trump to announce withdrawal from Paris climate change deal,Indian Express,2017-06-02
Hultgren backs Trump; Democrats decry Paris climate accord withdrawal,Daily Herald,2017-06-02
"For Climate Cause, Trump’s Withdrawal from Paris Accord Just One Hurdle Among Many",ProPublica,2017-06-02
Trump's withdrawal from Paris Climate Accord a 'great disappointment' - UN,Vanguard,2017-06-02
How Michael Bloomberg is defying Trump's withdrawal from the Paris climate accords,The Times of Israel,2017-06-02
"Philippines fire, Trump's withdrawal from Paris climate deal: Top stories this morning",The Hindustan Times,2017-06-02
India committed to Paris climate deal even as Trump mulls withdrawal [Global Warming],The Times of India,2017-06-02
Trump's withdrawal from Paris climate change accord is huge blow for global deal,The Independent (Daily Edition),2017-06-02
"Trump's Pittsburgh reference riles mayor,President used Pittsburgh 'as stereotype,' 'and it missed completely,' Peduto says; President Trump thrust Pittsburgh into the international spotlight Thursday afternoon by referencing it in his speech about",Tribune - Review / Pittsburgh Tribune - Review,2017-06-02
"Where Donald Trump sees a 'bad deal' in tackling climate change, China sees an opportunity to shape a new world order",Telegraph.co.uk,2017-06-02
Trump's speech on Paris climate deal: Here's what the US President said on India,The Hindustan Times,2017-06-02
Donald Trump's Paris deal withdrawal: Extreme weather and climate change explained,Telegraph.co.uk,2017-06-02
Theresa May 'disappointed' at Trump's withdrawal from Paris climate agreement,Express (Online),2017-06-02
Germany not mulling sanctions against US after Trump's climate pact withdrawal,Indian Express,2017-06-02
Trump announces US withdrawal from Paris climate deal,The Filipino Express,2017-06-02
