Date,Close,High,Low,Open,Volume,Log_Return
2015-04-02,12616,12616,12616,12616,0,0
2015-04-06,12616,12616,12616,12616,0,0
2015-04-07,12616,12616,12616,12616,0,0
2015-04-08,12616,12616,12616,12616,0,0
2015-04-09,12616,12616,12616,12616,0,0
2015-04-10,12616,12616,12616,12616,0,0
2015-04-13,12616,12616,12616,12616,0,0
2015-04-14,12616,12616,12616,12616,0,0
2015-04-15,12616,12616,12616,12616,0,0
2015-04-16,12616,12616,12616,12616,0,0
2015-04-17,12616,12616,12616,12616,0,0
2015-04-20,12616,12616,12616,12616,0,0
2015-04-21,12616,12616,12616,12616,0,0
2015-04-22,12616,12616,12616,12616,0,0
2015-04-23,12616,12616,12616,12616,0,0
2015-04-24,12616,12616,12616,12616,0,0
2015-04-27,12616,12616,12616,12616,0,0
2015-04-28,12616,12616,12616,12616,0,0
2015-04-29,12616,12616,12616,12616,0,0
2015-04-30,12616,12616,12616,12616,0,0
2015-05-01,12616,12616,12616,12616,0,0
2015-05-04,12616,12616,12616,12616,0,0
2015-05-05,12616,12616,12616,12616,0,0
2015-05-06,12616,12616,12616,12616,0,0
2015-05-07,12616,12616,12616,12616,0,0
2015-05-08,12616,12616,12616,12616,0,0
2015-05-11,12616,12616,12616,12616,0,0
2015-05-12,12616,12616,12616,12616,0,0
2015-05-13,12616,12616,12616,12616,0,0
2015-05-14,12616,12616,12616,12616,0,0
2015-05-15,12616,12616,12616,12616,0,0
2015-05-18,12616,12616,12616,12616,0,0
2015-05-19,12616,12616,12616,12616,0,0
2015-05-20,12616,12616,12616,12616,0,0
2015-05-21,7998.350098,7998.350098,7503.609863,7668.52002,2720077,-0.455730567
2015-05-22,8740.469727,8740.469727,7998.350098,8245.719727,2801489,0.0887286501
2015-05-26,8987.839844,10389.59961,8987.839844,10389.59961,2989429,0.0279086026
2015-05-27,9647.5,9812.410156,8740.469727,9070.290039,2622948,0.0708262792
2015-05-28,10059.7998,10472.09961,9647.5,9894.870117,1846933,0.0418484499
2015-05-29,9482.580078,10142.2002,9317.669922,10142.2002,1543831,-0.059090825
2015-06-01,9565.040039,10142.2002,9400.120117,9482.580078,1508261,0.0086583495
2015-06-02,9647.5,9977.320313,9565.040039,9565.040039,1448803,0.00858402555
2015-06-03,9894.870117,9977.320313,9647.5,9729.950195,955404,0.0253176384
2015-06-04,10884.40039,10884.40039,9894.870117,9894.870117,2533265,0.0953141545
2015-06-05,11544,11791.40039,11131.7002,11379.09961,3075595,0.0588352141
2015-06-08,11379.09961,12038.7998,11379.09961,11791.40039,2134998,-0.0143875163
2015-06-09,10801.90039,11461.59961,10307.2002,11379.09961,3379207,-0.0520562244
